Label,ugz_txt_Municipio__c,ugz_txt_UnidadeFederativa__c,ugz_txt_MunicipioSemAcento__c,ugz_txt_UnidadeFederativaSemAcento__c,ugz_txt_MercadoEmpresarial__c,ugz_txt_MercadoRevenda__c,ugz_txt_Uf__c,ugz_txt_FilaNucleoEmpresarial__c,ugz_txt_FilaNucleoRevenda__c,ugz_txt_FilaNucleoIndustrialEnvasado__c,ugz_txt_MercadoIndustrial__c
3108602,Brasília de Minas,MINAS GERAIS,Brasilia De Minas,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Noroeste_MG_Dom,ugz_MM_Ind_Envasado_Noroeste_MG,MM Industrial Envasado Noroeste MG
3162922,São Joaquim de Bicas,MINAS GERAIS,Sao Joaquim De Bicas,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Grande_BH_Dom,ugz_MM_Ind_Envasado_Grande_BH,MM Industrial Envasado Grande BH
3152006,Pompéu,MINAS GERAIS,Pompeu,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Grande_BH_Dom,ugz_MM_Ind_Envasado_Grande_BH,MM Industrial Envasado Grande BH
3124302,Espinosa,MINAS GERAIS,Espinosa,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Noroeste_MG_Dom,ugz_MM_Ind_Envasado_Noroeste_MG,MM Industrial Envasado Noroeste MG
3157203,Santa Bárbara,MINAS GERAIS,Santa Barbara,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Grande_BH_Dom,ugz_MM_Ind_Envasado_Grande_BH,MM Industrial Envasado Grande BH
3141801,Minas Novas,MINAS GERAIS,Minas Novas,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Leste_MG_Dom, ugz_MM_Ind_Envasado_Leste MG,MM Industrial Envasado Leste MG
3140704,Mateus Leme,MINAS GERAIS,Mateus Leme,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3145307,Novo Cruzeiro,MINAS GERAIS,Novo Cruzeiro,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Leste_MG_Dom, ugz_MM_Ind_Envasado_Leste MG,MM Industrial Envasado Leste MG
3155603,Rio Pardo de Minas,MINAS GERAIS,Rio Pardo De Minas,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Noroeste_MG_Dom,ugz_MM_Ind_Envasado_Noroeste_MG,MM Industrial Envasado Noroeste MG
3110608,Cambuí,MINAS GERAIS,Cambui,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3116605,Cláudio,MINAS GERAIS,Claudio,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3160405,Santo Antônio do Monte,MINAS GERAIS,Santo Antonio Do Monte,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3123601,Elói Mendes,MINAS GERAIS,Eloi Mendes,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3151404,Pitangui,MINAS GERAIS,Pitangui,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3109402,Buritizeiro,MINAS GERAIS,Buritizeiro,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Noroeste_MG_Dom,ugz_MM_Ind_Envasado_Noroeste_MG,MM Industrial Envasado Noroeste MG
3139607,Mantena,MINAS GERAIS,Mantena,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Leste_MG_Dom, ugz_MM_Ind_Envasado_Leste MG,MM Industrial Envasado Leste MG
3136652,Juatuba,MINAS GERAIS,Juatuba,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Grande_BH_Dom,ugz_MM_Ind_Envasado_Grande_BH,MM Industrial Envasado Grande BH
3106309,Belo Oriente,MINAS GERAIS,Belo Oriente,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Leste_MG_Dom, ugz_MM_Ind_Envasado_Leste MG,MM Industrial Envasado Leste MG
3144003,Mutum,MINAS GERAIS,Mutum,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Leste_MG_Dom, ugz_MM_Ind_Envasado_Leste MG,MM Industrial Envasado Leste MG
3144607,Nepomuceno,MINAS GERAIS,Nepomuceno,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Sul_MG_Dom, ugz_MM_Ind_Envasado_Sul_MG,MM Industrial Envasado Sul MG
3118809,Coração de Jesus,MINAS GERAIS,Coracao De Jesus,MINAS GERAIS,Empresarial Sudeste,Minas Gerais,MG,ugz_NUC_Minas_Emp,ugz_NUC_Noroeste_MG_Dom,ugz_MM_Ind_Envasado_Noroeste_MG,MM Industrial Envasado Noroeste MG
